Word,Frequency,LemmatizedWord,PartOfSpeech_NLTK,PartOfSpeech_Spacy
synonym,1,synonym,Adjective,P R O P N
place,1,place,Noun,V E R B
papa,1,papa,Noun,N O U N
language,1,language,Noun,N O U N
uses,1,us,Verb,V E R B
most,1,most,Adjective,N O U N
chemists,1,chemist,Noun,V E R B
dead,1,dead,Adjective,A D J
story,1,story,Noun,N O U N
original,1,original,Adjective,A D J
heavens,1,heaven,Noun,N O U N
meet,1,meet,Verb,A D J
killing,1,killing,Verb,N O U N
books,1,book,Noun,V E R B
next,1,next,Preposition,V E R B
fifth,1,fifth,Adjective,N O U N
form,1,form,Noun,A D P
exercises,1,exercise,Verb,A D J
better,1,better,Adverb,N O U N
mummy,1,mummy,Noun,N O U N
together,1,together,Adverb,A D V
apples,1,apple,Verb,P R O P N
pears,1,pear,Noun,A D V
talked,1,talked,Verb,V E R B
ask,1,ask,Adjective,N O U N
laziest,1,laziest,Adjective,V E R B
girls,1,girl,Noun,V E R B
sits,1,sits,Verb,A D J
watches,1,watch,Noun,N O U N
people,1,people,Noun,V E R B
lose,1,lose,Verb,V E R B
literature,1,literature,Adjective,N O U N
talks,1,talk,Noun,V E R B
realize,1,realize,Verb,N O U N
thinks,1,think,Noun,N O U N
invited,1,invited,Verb,V E R B
spend,1,spend,Adjective,V E R B
holiday,1,holiday,Adjective,V E R B
country,1,country,Noun,V E R B
glad,1,glad,Noun,N O U N
house,1,house,Noun,N O U N
both,1,both,Determiner,A D J
soon,1,soon,Adverb,P R O P N
arrived,1,arrived,Verb,P R O N
brother,1,brother,Noun,A D V
tossed,1,tossed,Verb,V E R B
winner,1,winner,Adjective,N O U N
toss,1,toss,Preposition,P R O P N
nearer,1,nearer,Adjective,P R O P N
round,1,round,Noun,V E R B
theres,1,there,Verb,P R O P N
break,1,break,Verb,N O U N
earlier,1,earlier,Adverb,P R O N
sister,1,sister,Adjective,A U X
shopping,1,shopping,Verb,N O U N
overslept,1,overslept,Adjective,A D J
sleep,1,sleep,Adjective,N O U N
onion,1,onion,Noun,V E R B
gave,1,gave,Verb,A D V
following,1,following,Verb,N O U N
imagine,1,imagine,Noun,N O U N
managers,1,manager,Noun,V E R B
big,1,big,Adjective,V E R B
factories,1,factory,Noun,N O U N
working,1,working,Verb,N O U N
started,1,started,Verb,A D J
except,1,except,Preposition,N O U N
secretary,1,secretary,Noun,V E R B
manager,1,manager,Noun,V E R B
battles,1,battle,Verb,S C O N J
general,1,general,Adjective,P R O P N
cry,1,cry,Noun,N O U N
won,1,won,Verb,V E R B
